id_invoice,tanggal,id_barang,nama_barang,harga,unit,jumlah_barang,mata_uang,kode_barang,brand_id,kode_lini,lini,id_customer,nama,cabang_sales,id_cabang_sale,id_distributor,grup
IN5978,2022-05-25,BRG0001,"ACYCLOVIR DUS",1170,DUS,9,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55670,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN5979,2022-03-28,BRG0009,"AMBROXOL HC",5781,DUS,18,IDR,BRG0009,BRND009,207,VNS,CUST55598,"APOTEK MAJA",Kuningan,CAB02,TA,Apotek
IN5980,2022-01-23,BRG0003,AMPICILLIN,10691,DUS,20,IDR,BRG0003,BRND003,210,MARCKS,CUST55432,"APOTEK TAPAK",Aceh,CAB01,TA,Apotek
IN5981,2022-01-28,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,76,IDR,BRG0004,BRND004,201,VNS,CUST55443,"APOTEK MERDEKA",Bandung,CAB04,EPM,Apotek
IN5982,2022-01-30,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,5,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55535,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN5983,2022-04-21,BRG0003,AMPICILLIN,10691,DUS,67,IDR,BRG0003,BRND003,210,MARCKS,CUST55622,"KLINIK GM",Jakarta,CAB03,EPM,Klinik
IN5984,2022-05-01,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,8,IDR,BRG0005,BRND005,203,SLCYL,CUST55714,"KLINIK SAHABAT",Tangerang,CAB05,TD,Klinik
IN5985,2022-04-18,BRG0001,"ACYCLOVIR DUS",1170,DUS,22,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55640,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN5986,2022-02-15,BRG0002,"ALERGINE TABLET SALUT",3992,DUS,9,IDR,BRG0002,BRND008,203,MARCKS,CUST55557,"APOTEK SINAR JAYA",Bekasi,CAB06,TA,Apotek
IN5987,2022-04-19,BRG0010,PARACETAMOL,6940,DUS,14,IDR,BRG0010,BRND010,208,SLCYL,CUST55659,"KLINIK GM",Jakarta,CAB03,EPM,Klinik
IN5988,2022-02-09,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,10,IDR,BRG0002,BRND002,203,ETIKAL,CUST55551,"APOTEK SAHABAT",Padang,CAB07,EPM,Apotek
IN5989,2022-05-01,BRG0010,PARACETAMOL,6940,DUS,67,IDR,BRG0010,BRND010,208,SLCYL,CUST55719,"KLINIK GM",Jakarta,CAB03,TA,Klinik
IN5990,2022-05-03,BRG0001,"ACYCLOVIR DUS",4592,DUS,10,IDR,BRG0001,BRND007,206,ETIKAL,CUST55706,"KLINIK SAHABAT",Tangerang,CAB05,TA,Klinik
IN5991,2022-01-23,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,24,IDR,BRG0005,BRND005,203,SLCYL,CUST55414,"KLINIK SAHABAT",Tangerang,CAB05,TD,Klinik
IN5992,2022-06-16,BRG0002,"ALERGINE TABLET SALUT",3992,DUS,23,IDR,BRG0002,BRND008,203,MARCKS,CUST55707,"APOTEK SINAR JAYA",Bekasi,CAB06,EPM,Apotek
IN5993,2022-05-26,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,1,IDR,BRG0002,BRND002,203,ETIKAL,CUST55671,"APOTEK SAHABAT",Padang,CAB07,TD,Apotek
IN5994,2022-02-01,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,12,IDR,BRG0002,BRND002,203,ETIKAL,CUST55411,"APOTEK MAJA",Kuningan,CAB02,TD,Apotek
IN5995,2022-04-06,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,14,IDR,BRG0008,BRND008,204,MARCKS,CUST55607,"KLINIK GM",Jakarta,CAB03,TD,Klinik
IN5996,2022-05-25,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,22,IDR,BRG0007,BRND007,206,ETIKAL,CUST55656,"APOTEK SAHABAT",Padang,CAB07,EPM,Apotek
IN5997,2022-01-20,BRG0001,"ACYCLOVIR DUS",1170,DUS,1,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55380,"APOTEK TAPAK",Aceh,CAB01,TD,Apotek
IN5998,2022-04-09,BRG0001,"ACYCLOVIR DUS",1170,DUS,23,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55610,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN5999,2022-05-01,BRG0003,AMPICILLIN,10691,DUS,5,IDR,BRG0003,BRND003,210,MARCKS,CUST55632,"APOTEK SINAR JAYA",Bekasi,CAB06,EPM,Apotek
IN6000,2022-06-16,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,7,IDR,BRG0008,BRND008,204,MARCKS,CUST55717,"APOTEK TAPAK",Aceh,CAB01,EPM,Apotek
IN6001,2022-04-02,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,21,IDR,BRG0004,BRND004,201,VNS,CUST55603,"APOTEK SAHABAT",Padang,CAB07,TD,Apotek
IN6002,2022-02-04,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,14,IDR,BRG0007,BRND007,206,ETIKAL,CUST55546,"APOTEK MAJA",Kuningan,CAB02,TD,Apotek
IN6003,2022-01-27,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,9,IDR,BRG0005,BRND005,203,SLCYL,CUST55424,"KLINIK DR. ANDRI",Lampung,CAB08,TD,Klinik
IN6004,2022-05-01,BRG0010,PARACETAMOL,6940,DUS,5,IDR,BRG0010,BRND010,208,SLCYL,CUST55729,"KLINIK SAHABAT",Tangerang,CAB05,TA,Klinik
IN6005,2022-02-01,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,12,IDR,BRG0008,BRND008,204,MARCKS,CUST55447,"APOTEK TAPAK",Aceh,CAB01,EPM,Apotek
IN6006,2022-02-12,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,5,IDR,BRG0005,BRND005,203,SLCYL,CUST55554,"KLINIK GM",Jakarta,CAB03,TA,Klinik
IN6007,2022-05-02,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,9,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55715,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN6008,2022-01-30,BRG0004,"TRAMADOL KAPSUL 50 MG",6940,DUS,12,IDR,BRG0004,BRND010,201,SLCYL,CUST55469,"KLINIK DR. ANDRI",Lampung,CAB08,TA,Klinik
IN6009,2022-04-28,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,76,IDR,BRG0008,BRND008,204,MARCKS,CUST55637,"KLINIK GM",Jakarta,CAB03,TD,Klinik
IN6010,2022-05-31,BRG0001,"ACYCLOVIR DUS",4592,DUS,5,IDR,BRG0001,BRND007,206,ETIKAL,CUST55676,"KLINIK SAHABAT",Tangerang,CAB05,EPM,Klinik
IN6011,2022-02-25,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,10,IDR,BRG0008,BRND008,204,MARCKS,CUST55567,"APOTEK TAPAK",Aceh,CAB01,TA,Apotek
IN6012,2022-06-16,BRG0003,AMPICILLIN,10691,DUS,5,IDR,BRG0003,BRND003,210,MARCKS,CUST55712,"KLINIK GM",Jakarta,CAB03,TA,Klinik
IN6013,2022-01-28,BRG0002,"ALERGINE TABLET SALUT",3992,DUS,25,IDR,BRG0002,BRND008,203,MARCKS,CUST55407,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN6014,2022-03-21,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,34,IDR,BRG0002,BRND002,203,ETIKAL,CUST55591,"APOTEK MAJA",Kuningan,CAB02,TA,Apotek
IN6015,2022-01-31,BRG0003,AMPICILLIN,10691,DUS,5,IDR,BRG0003,BRND003,210,MARCKS,CUST55482,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN6016,2022-03-09,BRG0010,PARACETAMOL,6940,DUS,5,IDR,BRG0010,BRND010,208,SLCYL,CUST55579,"KLINIK SAHABAT",Tangerang,CAB05,TD,Klinik
IN6017,2022-02-01,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,23,IDR,BRG0004,BRND004,201,VNS,CUST55513,"APOTEK SAHABAT",Padang,CAB07,TA,Apotek
IN6018,2022-04-01,BRG0003,AMPICILLIN,10691,DUS,14,IDR,BRG0003,BRND003,210,MARCKS,CUST55602,"APOTEK SINAR JAYA",Bekasi,CAB06,EPM,Apotek
IN6019,2022-04-20,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,12,IDR,BRG0004,BRND004,201,VNS,CUST55663,"APOTEK SAHABAT",Padang,CAB07,EPM,Apotek
IN6020,2022-03-11,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,1,IDR,BRG0002,BRND002,203,ETIKAL,CUST55581,"APOTEK SAHABAT",Padang,CAB07,TA,Apotek
IN6021,2022-04-19,BRG0001,"ACYCLOVIR DUS",1170,DUS,7,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55620,"APOTEK TAPAK",Aceh,CAB01,TD,Apotek
IN6022,2022-05-23,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,9,IDR,BRG0005,BRND005,203,SLCYL,CUST55654,"KLINIK SAHABAT",Tangerang,CAB05,TD,Klinik
IN6023,2022-02-01,BRG0010,PARACETAMOL,6940,DUS,15,IDR,BRG0010,BRND010,208,SLCYL,CUST55399,"KLINIK SAHABAT",Tangerang,CAB05,EPM,Klinik
IN6024,2022-01-27,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,12,IDR,BRG0005,BRND005,203,SLCYL,CUST55394,"KLINIK DR. ANDRI",Lampung,CAB08,TD,Klinik
IN6025,2022-01-30,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,7,IDR,BRG0004,BRND004,201,VNS,CUST55523,"APOTEK MAJA",Kuningan,CAB02,TA,Apotek
IN6026,2022-02-16,BRG0003,AMPICILLIN,5781,DUS,21,IDR,BRG0003,BRND009,210,VNS,CUST55558,"APOTEK SAHABAT",Padang,CAB07,EPM,Apotek
IN6027,2022-04-11,BRG0003,AMPICILLIN,10691,DUS,10,IDR,BRG0003,BRND003,210,MARCKS,CUST55612,"APOTEK TAPAK",Aceh,CAB01,EPM,Apotek
IN6028,2022-01-23,BRG0001,"ACYCLOVIR DUS",1170,DUS,98,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55420,"APOTEK MERDEKA",Bandung,CAB04,EPM,Apotek
IN6029,2022-01-28,BRG0010,PARACETAMOL,6940,DUS,4,IDR,BRG0010,BRND010,208,SLCYL,CUST55389,"KLINIK GM",Jakarta,CAB03,EPM,Klinik
IN6030,2022-05-01,BRG0004,"TRAMADOL KAPSUL 50 MG",6940,DUS,10,IDR,BRG0004,BRND010,201,SLCYL,CUST55709,"KLINIK DR. ANDRI",Lampung,CAB08,TA,Klinik
IN6031,2022-04-15,BRG0001,"ACYCLOVIR DUS",4592,DUS,4,IDR,BRG0001,BRND007,206,ETIKAL,CUST55616,"KLINIK SAHABAT",Tangerang,CAB05,TD,Klinik
IN6032,2022-06-03,BRG0004,"TRAMADOL KAPSUL 50 MG",6940,DUS,23,IDR,BRG0004,BRND010,201,SLCYL,CUST55679,"KLINIK DR. ANDRI",Lampung,CAB08,TA,Klinik
IN6033,2022-06-12,BRG0009,"AMBROXOL HC",5781,DUS,34,IDR,BRG0009,BRND009,207,VNS,CUST55688,"APOTEK MAJA",Kuningan,CAB02,TD,Apotek
IN6034,2022-02-20,BRG0003,AMPICILLIN,10691,DUS,14,IDR,BRG0003,BRND003,210,MARCKS,CUST55562,"KLINIK GM",Jakarta,CAB03,TD,Klinik
IN6035,2022-04-25,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,20,IDR,BRG0007,BRND007,206,ETIKAL,CUST55626,"APOTEK SAHABAT",Padang,CAB07,EPM,Apotek
IN6036,2022-01-27,BRG0009,"AMBROXOL HC",5781,DUS,23,IDR,BRG0009,BRND009,207,VNS,CUST55388,"APOTEK MAJA",Kuningan,CAB02,TA,Apotek
IN6037,2022-05-03,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,45,IDR,BRG0002,BRND002,203,ETIKAL,CUST55721,"KLINIK SAHABAT",Tangerang,CAB05,TD,Klinik
IN6038,2022-01-30,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,98,IDR,BRG0008,BRND008,204,MARCKS,CUST55517,"KLINIK GM",Jakarta,CAB03,TA,Klinik
IN6039,2022-01-23,BRG0001,"ACYCLOVIR DUS",1170,DUS,13,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55480,"APOTEK MERDEKA",Bandung,CAB04,EPM,Apotek
IN6040,2022-01-31,BRG0001,"ACYCLOVIR DUS",1170,DUS,10,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55470,"APOTEK TAPAK",Aceh,CAB01,EPM,Apotek
IN6041,2022-02-28,BRG0001,"ACYCLOVIR DUS",1170,DUS,5,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55570,"APOTEK MERDEKA",Bandung,CAB04,TD,Apotek
IN6042,2022-01-31,BRG0009,"AMBROXOL HC",5781,DUS,67,IDR,BRG0009,BRND009,207,VNS,CUST55428,"APOTEK MERDEKA",Bandung,CAB04,TD,Apotek
IN6043,2022-03-10,BRG0001,"ACYCLOVIR DUS",1170,DUS,9,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55580,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN6044,2022-05-01,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,18,IDR,BRG0005,BRND005,203,SLCYL,CUST55694,"KLINIK DR. ANDRI",Lampung,CAB08,TD,Klinik
IN6045,2022-01-31,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,21,IDR,BRG0007,BRND007,206,ETIKAL,CUST55506,"APOTEK SAHABAT",Padang,CAB07,TA,Apotek
IN6046,2022-06-15,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,12,IDR,BRG0002,BRND002,203,ETIKAL,CUST55691,"KLINIK SAHABAT",Tangerang,CAB05,TD,Klinik
IN6047,2022-04-26,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,12,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55635,"APOTEK TAPAK",Aceh,CAB01,TA,Apotek
IN6048,2022-01-31,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,25,IDR,BRG0005,BRND005,203,SLCYL,CUST55464,"KLINIK GM",Jakarta,CAB03,EPM,Klinik
IN6049,2022-01-28,BRG0010,PARACETAMOL,6940,DUS,9,IDR,BRG0010,BRND010,208,SLCYL,CUST55479,"KLINIK GM",Jakarta,CAB03,TA,Klinik
IN6050,2022-01-31,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,34,IDR,BRG0005,BRND005,203,SLCYL,CUST55434,"KLINIK GM",Jakarta,CAB03,TD,Klinik
IN6051,2022-03-23,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,15,IDR,BRG0004,BRND004,201,VNS,CUST55593,"APOTEK MERDEKA",Bandung,CAB04,TD,Apotek
IN6052,2022-01-23,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,5,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55385,"APOTEK SINAR JAYA",Bekasi,CAB06,TA,Apotek
IN6053,2022-01-28,BRG0002,"ALERGINE TABLET SALUT",3992,DUS,44,IDR,BRG0002,BRND008,203,MARCKS,CUST55437,"APOTEK SINAR JAYA",Bekasi,CAB06,EPM,Apotek
IN6054,2022-02-01,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,34,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55435,"APOTEK MERDEKA",Bandung,CAB04,TD,Apotek
IN6055,2022-03-13,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,4,IDR,BRG0004,BRND004,201,VNS,CUST55583,"APOTEK MAJA",Kuningan,CAB02,TD,Apotek
IN6056,2022-04-20,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,100,IDR,BRG0002,BRND002,203,ETIKAL,CUST55621,"APOTEK MAJA",Kuningan,CAB02,TA,Apotek
IN6057,2022-05-17,BRG0003,AMPICILLIN,5781,DUS,10,IDR,BRG0003,BRND009,210,VNS,CUST55648,"APOTEK SAHABAT",Padang,CAB07,TA,Apotek
IN6058,2022-01-27,BRG0003,AMPICILLIN,10691,DUS,34,IDR,BRG0003,BRND003,210,MARCKS,CUST55532,"KLINIK GM",Jakarta,CAB03,TD,Klinik
IN6059,2022-06-07,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,11,IDR,BRG0004,BRND004,201,VNS,CUST55683,"APOTEK MERDEKA",Bandung,CAB04,EPM,Apotek
IN6060,2022-02-01,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,22,IDR,BRG0004,BRND004,201,VNS,CUST55543,"APOTEK SAHABAT",Padang,CAB07,TD,Apotek
IN6061,2022-02-24,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,12,IDR,BRG0007,BRND007,206,ETIKAL,CUST55566,"APOTEK SAHABAT",Padang,CAB07,TD,Apotek
IN6062,2022-01-27,BRG0001,"ACYCLOVIR DUS",1170,DUS,12,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55490,"APOTEK SINAR JAYA",Bekasi,CAB06,TA,Apotek
IN6063,2022-02-01,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,12,IDR,BRG0008,BRND008,204,MARCKS,CUST55417,"APOTEK TAPAK",Aceh,CAB01,TD,Apotek
IN6064,2022-01-28,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,10,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55515,"APOTEK TAPAK",Aceh,CAB01,TD,Apotek
IN6065,2022-01-23,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,4,IDR,BRG0005,BRND005,203,SLCYL,CUST55474,"KLINIK SAHABAT",Tangerang,CAB05,EPM,Klinik
IN6066,2022-01-27,BRG0009,"AMBROXOL HC",5781,DUS,12,IDR,BRG0009,BRND009,207,VNS,CUST55538,"APOTEK MAJA",Kuningan,CAB02,EPM,Apotek
IN6067,2022-05-01,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,14,IDR,BRG0005,BRND005,203,SLCYL,CUST55704,"KLINIK GM",Jakarta,CAB03,TD,Klinik
IN6068,2022-01-31,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,6,IDR,BRG0007,BRND007,206,ETIKAL,CUST55536,"APOTEK SAHABAT",Padang,CAB07,TD,Apotek
IN6069,2022-03-01,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,4,IDR,BRG0002,BRND002,203,ETIKAL,CUST55571,"KLINIK SAHABAT",Tangerang,CAB05,TA,Klinik
IN6070,2022-01-28,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,23,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55485,"APOTEK TAPAK",Aceh,CAB01,TD,Apotek
IN6071,2022-04-27,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,95,IDR,BRG0007,BRND007,206,ETIKAL,CUST55636,"APOTEK MAJA",Kuningan,CAB02,EPM,Apotek
IN6072,2022-02-01,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,1,IDR,BRG0008,BRND008,204,MARCKS,CUST55477,"APOTEK TAPAK",Aceh,CAB01,EPM,Apotek
IN6073,2022-04-27,BRG0009,"AMBROXOL HC",5781,DUS,34,IDR,BRG0009,BRND009,207,VNS,CUST55628,"APOTEK MAJA",Kuningan,CAB02,TA,Apotek
IN6074,2022-01-27,BRG0003,AMPICILLIN,10691,DUS,98,IDR,BRG0003,BRND003,210,MARCKS,CUST55472,"KLINIK GM",Jakarta,CAB03,TD,Klinik
IN6075,2022-04-16,BRG0009,"AMBROXOL HC",5781,DUS,48,IDR,BRG0009,BRND009,207,VNS,CUST55638,"APOTEK MERDEKA",Bandung,CAB04,TA,Apotek
IN6076,2022-03-24,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,12,IDR,BRG0005,BRND005,203,SLCYL,CUST55594,"KLINIK SAHABAT",Tangerang,CAB05,TA,Klinik
IN6077,2022-05-16,BRG0002,"ALERGINE TABLET SALUT",3992,DUS,12,IDR,BRG0002,BRND008,203,MARCKS,CUST55647,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN6078,2022-03-30,BRG0001,"ACYCLOVIR DUS",1170,DUS,12,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55600,"APOTEK MERDEKA",Bandung,CAB04,TD,Apotek
IN6079,2022-01-31,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,34,IDR,BRG0005,BRND005,203,SLCYL,CUST55494,"KLINIK GM",Jakarta,CAB03,EPM,Klinik
IN6080,2022-03-26,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,14,IDR,BRG0007,BRND007,206,ETIKAL,CUST55596,"APOTEK SAHABAT",Padang,CAB07,TD,Apotek
IN6081,2022-03-19,BRG0004,"TRAMADOL KAPSUL 50 MG",6940,DUS,25,IDR,BRG0004,BRND010,201,SLCYL,CUST55589,"KLINIK DR. ANDRI",Lampung,CAB08,TD,Klinik
IN6082,2022-04-16,BRG0002,"ALERGINE TABLET SALUT",3992,DUS,8,IDR,BRG0002,BRND008,203,MARCKS,CUST55617,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN6083,2022-01-30,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,2,IDR,BRG0008,BRND008,204,MARCKS,CUST55487,"KLINIK GM",Jakarta,CAB03,EPM,Klinik
IN6084,2022-02-01,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,67,IDR,BRG0002,BRND002,203,ETIKAL,CUST55471,"APOTEK MAJA",Kuningan,CAB02,TD,Apotek
IN6085,2022-03-31,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,25,IDR,BRG0002,BRND002,203,ETIKAL,CUST55601,"KLINIK SAHABAT",Tangerang,CAB05,TA,Klinik
IN6086,2022-01-23,BRG0003,AMPICILLIN,5781,DUS,14,IDR,BRG0003,BRND009,210,VNS,CUST55408,"APOTEK SAHABAT",Padang,CAB07,TD,Apotek
IN6087,2022-02-18,BRG0001,"ACYCLOVIR DUS",1170,DUS,12,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55560,"APOTEK TAPAK",Aceh,CAB01,TA,Apotek
IN6088,2022-02-06,BRG0009,"AMBROXOL HC",5781,DUS,10,IDR,BRG0009,BRND009,207,VNS,CUST55548,"APOTEK MERDEKA",Bandung,CAB04,EPM,Apotek
IN6089,2022-01-25,BRG0007,"ERGOTAMINE COFFEINE",4592,DUS,9,IDR,BRG0007,BRND007,206,ETIKAL,CUST55386,"APOTEK SAHABAT",Padang,CAB07,EPM,Apotek
IN6090,2022-05-24,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,21,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55655,"APOTEK SINAR JAYA",Bekasi,CAB06,TA,Apotek
IN6091,2022-06-11,BRG0008,"TETRACYCLINE KAPSUL 250 MG",3992,DUS,14,IDR,BRG0008,BRND008,204,MARCKS,CUST55687,"APOTEK TAPAK",Aceh,CAB01,TD,Apotek
IN6092,2022-03-14,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,2,IDR,BRG0005,BRND005,203,SLCYL,CUST55584,"KLINIK GM",Jakarta,CAB03,TA,Klinik
